Ratings,Review_body,Date,Review_head
5.0 out of 5 stars,"Got this beast delivered within a day. The below review is based on hardly one day use. Will share the long-term review later.

Packaging: The unboxing experience was premium. The way packaging is done makes you feel premium, gives you assurance that yes, you’ve ordered a premium headphone.

In the Box: In the box, you get headphones, Aux Cable (superb quality), charging cable and a carrying pouch with large JBL logo in one side. I wish charging cable would have been “C” type.

Built Quality: The built quality of headphone is good. They’re largely built from plastic, but they don’t feel cheap or weak, and expecting them to withstand the day to day use. The headband is made of metal covered with fabric material. It looks really good but also creates an opportunity to attract dust. I hope over a period of time the premium feel should fade away.

Noise Cancelling: At this price point, these are the best noise cancelling headphones available. Though we cannot compare it to that of Bose or Sony which are almost three times costlier. These headphones do this job close to 80% compared to Bose or Sony.

Comfort: These are not only good-looking headphones but comfortable too. They do have a good amount of padding around the ear cups and cushion under the headband. Initially you’ll feel these headphones a little heavy, but after using it for some longer time, you’ll be used to it. I feel these are comfortable for longer duration of use too.

Sound Quality: Now come to the main function. Sound Quality as usual for JBL, is awesome. High, Mid, Low everything is well tuned. Bass Lovers will love the sound of this headphone. You also get an option to download and use the app called “My JBL Headphones” for enhanced sound experience. The app has three pre-set equalizers setting, “Bass, Jazz & Vocal”. I prefer to use this equalizer only for listening music (preferred Jazz). For watching movies / series, I will suggest to keep the equalizer off as default sound setting is excellent enough to give you those mind blowing sound effects. Since this is bass heavy sound output, sometimes you don’t get that much crystal clear HD sound compared to Sony, Bose or Sennheiser. But overall great sound.

Performance: Bluetooth range is good enough. I think this headphones use Bluetooth 4.1 which should give range upto 30 feets. Regarding battery backup, I think I should not comment now it's hardly a day I've been using it.

Final Verdict: If you want good looking premium headphones with good noise cancelling and sound quality, but the budget is constrained, without any second thought, GO FOR IT.",Reviewed in India on 19 June 2019,Awesome Purchase
5.0 out of 5 stars,"JBL Live 650 BTNC Review

I’m writing this detailed review of JBL Headphones after about a week of usage.
I pre-ordered these Headphones from Amazon and got them for 9.5 k.

Design 4/5: The JBL Live 650 BTNC are well-designed over-ear headphones. They are well-built headphones and their control scheme is easy to use. However, like most over-ears, they aren't the most portable option and won’t be ideal for sports as they trap heat inside the cups and aren’t stable enough for running

Comfort 5/5: The Live 650 BTNC are comfortable headphones. The padding on the cups is quite soft and their overall design feels fairly lightweight.

Build Quality 5/5: These are very well built Headphones. They feel very durable. The cups are dense enough and should survive a few accidental falls without too much damage. The headband is solid thanks to a reinforcing metal sheet, yet it is still fairly flexible.

Sound 5/5: The JBL Live 650 BTNC are good sounding closed-back over-ear headphones. They have a deep and powerful bass, a very well-balanced mid-range, and a great treble. Their bass is overly thumpy, but fans of bass-heavy genres may prefer this.
Bass heads will love these headphones because of the Extra Bass Sound Signature of these headphones.

Noise Isolation 5/5: These are the only Noise Isolation Headphones available Under 25000 bucks WITH EXTRA BASS SOUND SIGNATURE. The only other Headphones with similar Features are Beats Studio 3 which will set you back for 25k. So it’s pretty impressive to have Active Noise Cancellation at this price with Amazing sound quality.

Call Quality 2/5: These Headphones have pretty mediocre call quality. You have to speak louder than usual, only then the person at the receiving end can hear you properly.

Battery 5/5: With their ANC enabled, you will get about 22 hours of continuous playback with these headphones. They only take just under 2 hours to charge fully, which is good.

Connectivity 5/5: The JBL Live 650 BTNC are Bluetooth compatible headphones that can be simultaneously connected to two devices. This can be very useful if you often change between a work computer and your phone. Also, their wireless range is remarkable. You can use them wired, even if the battery is dead, and their audio cable has an in-line microphone that is compatible with most devices like gaming consoles, which is nice.

Conclusion: I Purchased these Headphones after reading enormous amounts of detailed reviews, comparing these headphones with the alternatives available from Sony, Skullcandy, Sennheiser, etc.
If you want the Best Headphones Under 10k.
Don’t look further than this Brilliant Masterpiece of a product by JBL.",Reviewed in India on 14 June 2019,JBL 650 BTNC Detailed Review
4.0 out of 5 stars,"I'd say the best feature of this headphone is the comfort. You can wear it for hours together and not feel any discomfort. The next thing is sound quality. I found it to be good in terms of both bass and clarity. I'd say it's a little too clear, the downside being there is a minor issue with sibilance at default settings. The 's' and 't' come out sharply especially with female voices. I found that if you turn down the entire 'bass' profile in the jbl app by 1 step (ie. lower the entire frequency curve by a bit) this goes away. Lastly, the noise cancelation is average. It cuts off low rumbling sounds very well (like ac, central cooling) but people speaking, television noise, cellphone speaker playing etc. pass through. I got it for 7k from another site and for that price it's worth it. At 10.5k, I'd go with something else.",Reviewed in India on 12 November 2019,Good headphones if it buy for less than 8k
1.0 out of 5 stars,"These heaphones have a good sound signature for the price, all frequencies are well audible. Battery life is excellent. Google assistant works by tapping on the left ear cup. Noise cancelling is average at best. You can wear them comfortably for hours without discomfort. Ear cups aren't tight. AUX cable is braided with one end being 2.5mm to be connected to the headphones, and 3.5mm for the audio port. Now moving to the bad part.

I purchased this from a Croma retail store near my home about last year. It's still under warranty period. The stitching came apart on it's own without any mechanical damage done to it. I have been extremely careful while handling it. To my horror, JBL does not replace the ear cushions or the headphones when there is physical damage. They do not cover physical damage in their warranties which is really absurd. They don't cover water damage either so what does their warranty cover?? DO NOT BUY THEM! The durability is horrible!! The sales people at Croma specifically told me that if the cushion tears off, it will be replaced by the manufacturer.

JBL has left me utterly disappointed. Till date I have purchased their products, due to their excellent after sales support, good quality sounding headphones. I'll be taking my business elsewhere after this experience.",The manufacturer commented on the review below,"Horrible durability with no replacement for ear cushions, with a non existent warranty."
5.0 out of 5 stars,"Be assured about quality when its brand like JBL… Rocking headphones with great sound and super amazing bass… You can enjoy every beat of music without any disturbance… Very efficient active noise cancellation... Connects easily with Bluetooth devices like laptop, phone or tabs… Battery life is up to 30hrs with faster charging… Very lightweight and comfortable to use.. This is the best headphones I have ever used!! Value for money... highly recommended! You will love it!",Reviewed in India on 5 July 2019,Mind-blowing headphones with great quality
4.0 out of 5 stars,"The product was delivered earlier than expected .
Noise cancellation :- Good amount of hybrid noise cancellation ( passive + active ) was present . But still I expected more .
Sound quality :- Best at this price point . Fantastic bass ( built for bass lovers ) .
Can handle any kind of equalizer settings .
Comfort and Build:- Memory foam provided good amount of comfort . It also seemed sturdier than other headphones I have tried.
Battery life : I got 18.5 hours of battery backup with ANC & 29 hours with PNC ( ANC off ) .

JUDGEMENT :-:- Hmm. Great overall . You can make it your first/next headphone without any doubts .",Reviewed in India on 24 May 2020,Review of JBL Live 650BTnc
5.0 out of 5 stars,"The noise cancellation is not at par with the Bose QC II but it does a good job of blocking your normal household noises. The sound quality is nice, not too high on bass and overall good sound quailty.Battery life is about 32 hours with active noise cancellation on.The active noise cancellation is very good for its price point and it does a decent job.",Reviewed in India on 9 August 2020,Soild pair of Headphones
1.0 out of 5 stars,The worst product when I recieved the head phones the noise cancellation was not working and the sound quality was worst don't buy this product JBL live 500Bt is the best,The manufacturer commented on the review below,The worst product don't buy it
5.0 out of 5 stars,"Bass 10/10
Vocals 9/10
Battery backup 10/10(around 16 hrs on single charge)
Ease of connection (pairing) 10/10(almost instantly never faced an issue.
Noise cancellation 9.5/10(active)
Hand free calling (tap on earcup to take call) 10/10
Multi-Point Connection switching ease 9/10
JBL Headphone app 8/10",Reviewed in India on 15 June 2019,Verdict perfect package under 11k
5.0 out of 5 stars,Noise canceling is just average.. Other than that..everything else is just superb,Reviewed in India on 8 October 2019,Comfort ❤️
,"I wanted so much to like the headphones, however, they are let down in a number of areas, which mens they only get 3 stars and will be going back to Amazon later this week.

As a standard pair of bluetooth headphones, they perform adequately well. The sound is good, not as good as I'd have liked, but not bad.
Construction is good. A bit too plasticy maybe, and the buttons are rather tricky to find when wearing them, but over all OK. I am a size 58 head, and the headphones grip quite hard so I think if I was wearing them for a few hours, like on a plane journey, I'd struggle with them.

Alas, the good points end there.

Now the not so good.

Pairing with both my android phone and Amazon tablet took a lot of time and retries. Eventually I managed to pair them, but in order to pair to the tablet, I have to turn off bluetooth on the phone first. They will not pair to a different device if an existing one isn't active. Not had that happen with other equipment.

The headphones are meant to work with both Google Assistant and Amazon Alexa (Have to choose one from the Android app (Alas, no Amazon app, so no way to do so from an Amazon tablet unless side loading).
OK(ish) so far.
The following is mostly about Alexa as I use that more than Google Assistant.

Again, just like the pairing, it was a bit of a faff getting the headphones and Alexa to pair.
Once paired, it seems to work for a little while, but then somehow either the headphones or the Alexa app stop communicating and everytime you brush the left earpiece you get a screeching ""You have no connection, Either connect to the devise or restart the Assistant application"" or something similar.
In other words, you've lost the assistant completely. In order to get it back, have to shut down/restart earphones and/or Alexa. A few times.......

Noise Cancelling. Given this is the major feature for these headphones, I was very very disappointed. I have up to new used a set of Bose QC15s, which are nearing the end of their life, hence looking for replacement ANCs.
The Bose headphones, despite being at least 6 years old cut out all humming and noise. I have used them on noisy trains, planes, boats, etc. They work and the background noise is, despite them being ON ear only just brilliant.

I was expecting at least same, if not better from the JBL set, given they are new, hence I expected newer technology. Alas, I am really disappointed. The ANC is really the worst feature of the headphones.
I tested then in the car and they hardly cut out the engine noise at all. Bose ones did 100% almost.

This evening, I did a test with all my headsets, some on ear, some over. Only the Bose and the JBL are ANCs.

I had a SF program on, which had lots of background noise (Starship engine hum, etc).
Result:
Bose: 100% cut out of background noise.
JBL: Some loss of background noise, but hardly any difference if ANC on or off.
Other headphones: Performed about as well as JBL, despite no ANC.

OK, not a scientific test, I grant you, but as good a test as I need to know they aren't up to spec.

So, in conclusion, I have to surmise that on a plane/train/etc, these JBL headphones will be practically useless in terms of ANC, thus making them totally pointless.

Alas, I tried to hard to like them...

So, going back to Amazon later this week and I'll now consider sticking to Bose and just biting the bullet and spending a lot more money.

Not recommended as main features don't work.",Reviewed in the United Kingdom on 7 November 2019,
,"This product was extremely disappointed and though I was very excited to receive these and they didn’t live up at all to my expectations. To start, the headphones easily fell off my head whenever I was running or cycling or doing something active. The noise cancelling is okay although it doesn’t block out all wind or chatter which makes it slightly pointless. However the worst part about it was the terrible sound quality and the fact that you could receive better quality from £25 apple earphones or something similar to this price is inexcusable for such expensive headphones. This product was a huge regret and I would make sure to get something worthy of the price in the headphone market.",Reviewed in the United Kingdom on 11 February 2020,
,"I love these headphones. Noise cancellation is great. You can't hear all the car buzz around you. It works without listening to the music which is an added value. I can finally take a break from a constant noise ( I live next to the busy road and 2 pubs). The headphones are big. The good thing about this is that they cover whole ears, but they would work better for a bigger head than mine. They can't be regulated and I find them a bit heavy though I am really happy with them.",Reviewed in the United Kingdom on 8 August 2020,
,"Awesome. Brilliant noise cancellation. Comfortable. Only annoyance is the bright lights on the side and you can't turn off Google assistant, so accidentally touching the wrong place causes it to bark at you that it's not setup.",Reviewed in the United Kingdom on 4 February 2020,
,Great sound and the noise cancellation works well. Not truly tested for Battery life but appears to be fine. Not a technical review here I’m afraid but the average user should be very pleased with their purchase as I am.,Reviewed in the United Kingdom on 4 February 2020,
,"Very comfy, easy to use and come with a little bag for when you're not using it, just wish the battery could last longer using the noise cancelling.",Reviewed in the United Kingdom on 21 May 2020,
,These headphones sound good but not enough bass compared to other JBL headphones. Noise cancellation works ok but as soon as the seal is even slightly broken they sound like crap,Reviewed in the United Kingdom on 7 November 2019,
,"Good headphones, decent noise cancelling (or rather noise reduction) in most cases with audio podcasts, with music the external sounds fade away. Not great in windy conditions ie. not greats companion for outdoor walks",Reviewed in the United Kingdom on 1 December 2019,
,Crisp sharp sounds with good bass. Very good noise cancelling.,Reviewed in the United Kingdom on 10 November 2019,
,Average noise cancelling. Excellent sound reproduction. Need to improve the noise cancelling ability,Reviewed in the United Kingdom on 18 September 2019,
,Outstanding headphones the price,Reviewed in the United Kingdom on 28 January 2020,
,"The JBL LIVE 650BTNC are a good looking, comfortable noise cancelling headphone.Taking them out of the box; it's hard not to admire their looks. There aren't grills, mesh and they don't have the shiny plastic of Beats just a subtle look. Putting them on the ear cups are nice and soft; and despite the July heat these are comfortable headphone even In long use. The headband is a little stiff which despite the plastic makes them feel well made. There could be a bit more padding on the headband; it's wrapped in a plastic mesh.

From the box they needed charging; sadly this is via a micro usb cable; though this likely helps keep the cost down. JBL include a bright orange cable to help you charge them. In the box you also get a slip case to transport then, a headphone cable - which has an inline microphone; but not a two pin aeroplane adaptor. For calls users preferred the microphone on the cable to the built in microphones.

You turn them on through a nice positive sliding switch on the right ear cup. The power up and connect to my iPhone nice and quickly. The noise cancelling comes on by default; and It is a scorched earth noise cancelling. This is great for planes and commuting on buses and trains. In a hot July I'm sat next to a fan listening to them and I can't hear the fan; a foot away. With the TV on in the room I can hear very muted voices; though high pitched sounds like the selection beep are more noticeable.

Once charged the battery life on and off during the week for me was around 18 hours with ANC on all the time; realistically its not very often i'm away from power for that long. Once drained a 15 minute charge allowed for me around 2 - 2 and half hours of battery so you need not be away from peace and quiet for too long.

Like a lot of ANC headphones JBL have added support for the Alexa and google assistant integration. I have a few headphones that support this feature; but with the JBL it has become something really useable and offers a better experience. Unlike other headphones; the assistant isn't activated by a small button or an action on a touch surface - the centre of the left ear cup is like a big button to activate the assistant. I have a preference for the google assistant. It reads out messages; works with hangouts - and you can reply to both. Of course lets you do some degree of search. Whilst the microphone on the headsets didn't go over too well on calls; they worked great for speaking to google.

I cant compliment the other controls on the headphones they are a bit of a usability disaster. There are 5 hard to distinguish buttons on the right ear cup. Even if you know what each one does; they are hard to differentiate by touch alone. JBL use the; up volume - multifunction centre and down volume. Its hard to find the centre button even though it is slightly recessed. It's almost impossible to find the noise cancellation control button, colocated with the bluetooth button. The buttons themselves work with a nice positive click; though they barely move when you press them.

Audio wise out of the box they are bass heavy for my taste and that overwhelms my delicate textured musical tastes; it works pretty well with rock music. JBL's app lets you retune the sound to suit your taste; and that let me reduce the bass. There are a few presets to get you started; you can't make them as musical as . The app like the rest of the headphones is a bit basic; but it does the job. You get a more neutral and wide ranging sound from B&O's H9i - but not twice the price worth. They do suffer from the same issue with walking around outside in them I had with the H9's the ANC doesn't work too well with movement and wind noise. Reducing the ANC setting a notch (if you can find the button) helps in this regard.

As a heavy traveller I have been using noise cancelling headphones for over a decade to ease my journeys; for this the JBL's are great. The Diesel engine of my train to London melted away; even with the music off. Heathrow terminal 5 and a flight to Krakow were both made in peace - and this is the benefit of ANC - you don't need to listen to something if you just want quiet they work well . My biggest gripe with the JBL's are the controls are ill thought out; and you really have to use your phone to make calls as the microphones aren't up to it. Spend some time with the EQ in the app and you can tune the sound to be close to your preference.

If your budget gets you to these headphones; you will be happy with the JBL's. Feature wise you won't be missing out on important things compared to higher priced alternatives.",Reviewed in the United Kingdom on 6 July 2019,
,"Excellent headphones with great sound quality and a decent amount of noise cancellation.I wouldn't say you can't hear anything when you're using them, but some lower vibration sounds are definitely cancelled out (which was the main reason I got them).Overall happy with my purchase. =)",Reviewed in Germany on 28 July 2020,
,"Use it on daily base (2-4) hours, battery lasts for whole work week. Installed them in 2 minutes (win 10), never had issue with them regarding bluetooth. Noise cancelation is awesome. Music playing from headphones can not be heard to other people until 80-85% volume is reached. There is really no need to go above it.",Reviewed in Germany on 13 October 2019,
,"Let's go for the positives first:

+ Amazing sound! And it's easy to tweak if you prefer it different from the excellent default settings. Love the bass
+ Collapsible and with a solid design that I expect to last long especially if stored in the enclosed bag while not in use
+ Alexa and Google assistant support (if you use it. It can be disabled in the app).
+ Premium look and comfort. Mostly plastic, but it's durable, has some metallic features and a soft headband and nice cushions that will fit over most ears. They stay well in place.
+ a good battery life!

The not so good
- my biggest problem with these is if they are used outside even on days where there is very little wind, the wind will be amplified and distort the sound. As the sound is already not as high as I would have expected, it is very annoying and I find it almost impossible to listen to podcasts while walking as the wind sound is so annoying
- I have found that it has taken me a while to get used to the buttons. It will likely be easier for people that have used this type frequently, but as I have most often simply used the phone controls, it is still a bit hit n miss for me and until you set up the initial settings, you will be prompted by the voice assistant to get it sorted if you accidentally hit a button while eg adjusting the headphones.
- the noise cancellation works, but it is weaker than some I've tried from other big brands (which were also more expensive).
- the price on Amazon is £229, but with JBL it's £179, which is much more in line with the quality.

So to recap; the sound is absolutely amazing if you're inside or in non-windy conditions, but as soon as there is even a slight breeze, it sounds like you're caught in a storm and it's really ruining the experience of using these headphones outside - and I would certainly not try running or otherwise exercising with them. So this will all depend on where you use them. If it's simply for commuting or mostly indoors, they will likely be a great choice as the sound is beautiful and you have all the features you would get from other, more expensive, wireless over-ear headphones, but as I use mine going to and from work every day where I will be out and about in sometimes slightly windy conditions, these are not working so well for me and that's disappointing.",Reviewed in the United Kingdom on 3 July 2019,
,"I've had quite a few headphones in my time from companies like Bose and Sennheiser albeit not the at the very high end, certainly several hundred pounds worth of good and these headphones are right up there. If I'm being fussy then the noise cancelling is not as good as the best Sennheisers I've had. Anyway enough of the comparative here's the empirical:

I found these headphones to be very comfortable and adjustment to optimise the fit very easy with just the right amount of resistance not to move when you're moving around with them. The over ear pads are supremely comfortable, I mean I've fallen asleep wearing these listening to chill out tunes, and the headband has enough texture to grip your hair/head to not move during use front to back. They just seem optimised in terms of their build, the materials used and the build quality. They are definitely worth the money.

In terms of sound quality the noise cancelling does make a noticeable difference to some of the mid range and the bass is never quite enough but pretty good. Maybe i was spoiled by the Sennheisers. Whoops slipped back to the comparative narrative there. One thing I noticed in use was the volume level didn't stay where you left it the last time you disconnected. Not sure if this was the headphones fault or some dodgy Apple coding. They are very loud and if you don't notice the volume is on maximum it can give you a bit of a start!

I never used the Alexa/google assistant stuff as I mostly have that turned off. If I wanted people to eavesdrop on my conversations I'd open a window and shout. However I did use them to make phone calls and they worked pretty well with or without the cord. The battery life was about what was promised in the blurb and they would recharge even from low power USB sockets unlike my iPad.

Overall these are blinding value for money and I would be happy to replace these for the same with my own money if they broke. Considering they cost a fraction of what my noise cancelling Sennheisers cost me (even they eventually broke, a victim of my clumsiness), they are stonking good value. So even though the NC and Sound isn't up to the same level as my old Sennheisers, I'm still going to give them a well deserved five stars.",Reviewed in the United Kingdom on 25 February 2020,
,"In the box you get the headset, the charging cable, a detachable audio cable with remote and a carrying pouch. These are Bluetooth headphones but they also have an aux in cable outlet. The cable fits my ancient MP3 player. This paired no problem with my phone and tablet. There are all the usual controls on the side of one of the speakers.To use the Alexa app you need to navigate to the device page of your phone and add the device. You can then use Alexa on via the headphones. You can ask all the usual questions. This isn't too useful if you already have Alexa indoors, but this does mean you can also use Alexa outside in the garden, say.According to the instructions, you can also set the headphones up with Google Assistant. However, I haven't tried that.The sound quality is excellent. The headphones are a snug and comfortable fit over both my ears and my wife is. There is a good amount of padding over the head and over the ear. They are adjustable. From the noise-canceling point of view, it's only really effective if you're playing music. Otherwise basically you just have an expensive pair of ear defenders. The noise-canceling advantage is less effective for audio books or the spoken word.Why only 4 stars? The quality is there but they are a little heavy. According to the instructions, they weigh in at 260g.  I think these would probably be great in flight or somewhere where you really needed the noise cancelling function, but day-to-day I tend to wear something a lot lighter.",Reviewed in the United Kingdom on 10 August 2019,
,"The headphones at their smallest are small, which is amazing as I can never get a pair to fit my small head.
Sound quality is great and the noise cancelling works well. Very comfortable to wear and look very smart.

Connection was very easy and works well via Bluetooth.

Slightly negative points
*The buttons, which are very small, are all on one side of the headphones so will take a little use to get used to the positioning for answer calls/ using the volume buttons.
* A few issues connecting to google assistant but seems to be ok now.
*The my JBL headphone app isn't great, 2.2 review on the Play store, which isn't great for a £200+ bit of gear.

My only thing that really has irritated me about these new headphone is the choice of charger connection - it's a Micro-USB when all Android phones are moving to USB-C so it will mean you need to carry two different cables or an adapter with you.

(also comes with a standard headphone connection to allow the same quality sound without draining your battery via Bluetooth)",Reviewed in the United Kingdom on 3 July 2019,
,"The black and gold styled version of these 'phones look great! I like the noise cancelling and the other features - e.g. connection to 2 devices simultaneously via bluetooth, and the ability to connect via a cable (which can constitute a 3rd device!) so I would highly recommend.

Negatives:
Comfort: I found that the fit was a little tight, I've noticed others describing that it works well for there smaller heads and I have the opposite problem. The cups and band are nice and soft however.
Sound - it took a little manipulation to get the sound I like - it was incorrectly, IMHO configured out of the factory with too much bass.

Positives:
Battery life: Great! as advertised, easy to get through the day and put on charge (I would say a Type C connector would have helped here too)
Styling: looks really good, and folds away quite nicely into the provided sturdy bag.
Connectivity: it's really useful to have up-to 3 (1 wired) devices ready to go without much messing about with Bluetooth reconnection, etc.

Summary:
Like the bag, a sturdy pair of headphones for modern living!",Reviewed in the United Kingdom on 31 July 2019,
,"These headphones are great quality. They fold up neatly when not in use and can be stored in the supplied bag (which is a bit cheap though). It comes with a charging cable and an audio jack lead for wired connections where bluetooth is not available. Sadly, and I have gone on about this very same thing with a number of high end goods recently, the charging method is via Micro USB. This is an old connection method for 2019 and I fell should be USB-C. All our mobile devices at home are USB-C so now it means taking two cables when we go on a trip.

Connection via Bluetooth was easy and quick. Once connected, they stayed connected.

Sound quality if really good - as is to be expected in this price bracket, with nice clear highs and solid low end response. Noise cancellation is the best I've had on any cans to date.

Placement of the buttons on the side edge of one cup are a little awkward. They are marked but it is very difficult to see what they are so you need time to get used to these.",Reviewed in the United Kingdom on 7 July 2019,
,JBL LIVE 650BTNC Wireless Over-Ear Noise-Cancelling Headphones with Alexa built-in are a good sounding set of over-ear headphones.  I found the headphones were easy to pair and it was a very quick process.The headphones provide excellent sound quality as well as noise-cancelling to make sure the sounds you hear from the headphones is at the best quality of sound possible.Another bonus for me is the fact they are very comfortable to wear and once positioned correctly there is no slippage or other disturbing factors.Great product which I am happy to recommend.,Reviewed in the United Kingdom on 9 February 2020,
,"Really excellent noise-cancelling headphones (the noise cancelling really only works if you have music playing): beautifully packaged and ready to use straight out of the box: quick connect via Bluetooth and I was jigging around within 1 minute!  The sound is crisp clear and bright: though I have to say that compared to the BOSE headphones I have the stereo effect is not quite as good.  Nevertheless, for a tip top pair of stunning-looking headphones you can't go wrong with these.  Highly recommended.",Reviewed in the United Kingdom on 1 July 2019,
